signal,score_bucket,n,accuracy
ours_agreement,0.0,220,0.0
ours_agreement,0.2,106,0.46226415094339623
ours_agreement,0.4,151,0.5231788079470199
ours_agreement,0.6,399,0.5614035087719298
ours_agreement,0.8,467,0.5438972162740899
ours_agreement,1.0,2764,0.7127351664254703
b2_confidence,0.0,486,0.0
b2_confidence,0.5,4,0.0
b2_confidence,0.9,1,1.0
b2_confidence,1.0,3616,0.8702986725663717
cross_method,0.0,1792,0.0
cross_method,0.5,1,0.0
cross_method,0.6,36,0.75
cross_method,0.7,62,0.9032258064516129
cross_method,0.8,188,0.8670212765957447
cross_method,0.9,227,0.8370044052863436
cross_method,1.0,1801,0.9117157134925041
